2022-03-17 16:47:30,590 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:30,590 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:30,590 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:30,590 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:30,590 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:30,590 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:31,602 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:31,602 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:31,602 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:31,602 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:31,602 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:31,602 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:32,608 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:32,608 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:32,608 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:32,608 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:32,608 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:32,608 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:33,613 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:33,613 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:33,613 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:33,613 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:33,613 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:33,613 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

